編號,原文,臺灣用語,大陸用語,其他用語,
69,gapless structure,無隙結構,,,
70,gapped tape,間隙磁帶,,,
71,garage,存放區,,,
72,garbage,廢料,無用信息 ,,
73,garbage area,廢料區,無用信息區 ,,
74,garbage collection,廢料收集,,,
75,garbage collection bit,廢料收集位元,,,
76,garbage collector,廢料收集器,無用信息收集程序 ,,
77,garbage collector's marker,廢料收集器的標誌器,,,
78,garbage compaction,廢料壓緊,,,
79,garbage in garbage out	,廢料輸入廢料輸出,,,
80,garbage signal,廢料信號,,,
81,garbled message,錯亂訊息,,,
82,garden path sentence,花園路徑句子,花園路徑句子 ,,
83,gas discharge display,氣體放電顯示器,,,
84,gas panel,氣體面板；氣體板,,,
85,gas plasma display	,氣體電漿顯示,,,
86,gate,閘,門 ,,
87,gate array,閘陣列,門陣列 ,,
88,gate array chip,閘陣列晶片,,,
89,gate array device,裝置閘陣列,,,
90,gate array interchange language	,閘陣列交換語言,,,
91,gate array interface language	,閘陣列介面語言,,,
92,gate binary,閘二進制,,,
93,gate cell,閘單元,,,
94,gate circuit,閘電路,,,
95,gate control block,閘控制塊,,,
96,gate delay,閘延遲,門延遲 ,,
97,gate diode,閘二極體,,,
98,gate element,閘元件,,,
99,gate generator,閘波產生器；閘產生器,,,
100,gate inverter,閘反向器,,,
101,gate inverter memory,閘反向器記憶體,,,
102,gate level logic simulation,閘位準邏輯模擬,,,
103,gate level model,閘級模型,,,
104,gate level simulation,閘位準模擬,,,
105,gate of A except B,A去B閘,,,
106,gate pulse,閘脈衝,,,
107,gate reference,閘參考,,,
108,gate region,閘區域,,,
109,gate signal,閘信號,,,
110,gate switch,閘開關,,,
111,gate time,閘時間,,,
112,gate tube,閘管,,,
113,gate turn off thyristor	,截斷閘流體,,,
114,gateable clock,閘控時鐘,,,
115,gated,閘控,,,
116,gated amplifier,閘控放大器,,,
117,gated buffer,閘控緩衝器,,,
118,gated clock,閘控時鐘,,,
119,gated crossover detection,閘控交越檢測,,,
120,gated FF,閘控正反器,,,
121,gated full adder,閘控全加器,,,
122,gated information,閘控資訊,,,
123,gated latch,閘控閂,,,
124,gateway,閘道器；閘道；通路,網關 ,,
125,gateway center,閘道中心,,,
126,gateway computer,閘道計算機,,,
127,gateway controller,閘道控制器,,,
128,gateway node,閘道節點,,,
129,gateway protocol,閘道協定,,,
130,gateway to gateway protocol,閘道到閘道協定,網關到網關協議 ,,
131,gateway work center,閘道工作中心,,,
132,gather write,集寫,,,
133,gather-write/scatter-read,集中寫／分散讀,,,
134,gating,閘控,,,
135,gating circuit,閘控電路,,,
136,gating code,閘控碼,,,
137,gating element,閘控元件,,,
138,gating line,閘控線,,,
139,gating matrix,閘控矩陣,,,
140,gating pulse,閘控脈衝,,,
141,gating technique,閘控技術,,,
142,gating time,閘控時間,,,
143,gauge,線規,,,
144,Gaussian curvature approximation,高斯曲率逼近,高斯曲率逼近 ,,
145,Gaussian curve,高斯曲線,,,
146,Gaussian distribution,高斯分配,高斯分布 ,,
147,Gaussian disturbance,高斯干擾,,,
148,Gaussian elimination,高斯消去,,,
149,Gaussian elimination method,高斯消去法,,,
150,Gaussian noise,高斯雜訊,,,
151,Gaussian sphere,高斯球,,,
152,Gauss-Seidel method,高士賽迪法,,,
153,GCM,總體一致性記憶體,全局一致性存儲器 ,,
154,GCR,群編碼記錄,成組編碼記錄 ,,
155,GDSS,群組決策支援系統,群體決策支持系統 ,,
156,GE information services,GE公司資訊服務,,,
157,gear ratio,齒輪比,,,
158,Gear's algorithm,基爾演算法,,,
159,general,概要；通則；一般,,,
160,general access copy	,通用存取副本,,,
161,general accounting package,通用會計套裝軟體,,,
162,general accounting system,通用會計系統,,,
163,general address,通用位址,,,
164,general assembly drawing	,總組合圖,,,
165,general assembly program	,通用組合程式,,,
166,general computer system,通用計算機系統,,,
167,general concepts,一般概念,,,
168,general description,一般描述,,,
169,general escape,一般逸出,,,
170,general expenses,一般費用,,,
171,general flowchart,通用流程圖,,,
172,general identifier,通用識別符,,,
173,general information,一般資訊,,,
174,general item,一般項目,,,
175,general ledger,總帳,,,
176,general ledger credit,總帳貸方,,,
177,general ledger debit,總帳借方,,,
178,general ledger system,總帳系統,,,
179,general ledger worksheet,總帳工作底稿,,,
180,general linguistics,普通語言學,普通語言學 ,,
181,general list,通用串列,,,
182,general mode,通用模式,,,
183,general net theory,通用網路理論,通用網論 ,,
184,general phrase structure grammar,通用片語結構文法,廣義短語結構語法 ,,
185,general problem,一般問題,,,
186,general problem solver,通用問題解答器,通用問題求解程序 ,,
187,general problem solver program,通用問題解答器程式,,,
188,general problem solving strategies,通用問題求解策略,,,
189,general process,一般過程；通用過程,,,
190,general program,一般程式,,,
191,general purpose,通用,,,
192,general purpose application program,通用應用程式,,,
193,general purpose Chinese character information processing system,通用中文資訊處理系統,,,
194,general purpose compiler,通用編譯器,,,
195,general purpose computer	,通用計算機,,,
196,general purpose development environment,通用發展環境,,,
197,general purpose financial statement,一般財務報表,,,
198,general purpose interface bus,通用介面匯流排,通用接口總線 ,,
199,general purpose language,通用語言,,,
200,general purpose library,通用程式館,,,
201,general purpose optimizing,通用最佳化,,,
202,general purpose problem solver,通用問題解決器,,,
203,general purpose programming language,通用程式設計語言,通用編程語言 ,,
204,general purpose register,通用暫存器,通用寄存器 ,,
205,general purpose routine,通用常式,,,
206,general purpose software engineering environment,通用軟體工程環境,,,
207,general purpose system simulator	,通用系統模擬器,,,
208,general purpose systems simulation,通用系統模擬語言,通用系統模擬語言 ,,
209,general purpose systems simulation	,通用系統模擬,,,
210,general purpose time-sharing system,通用分時系統,,,
211,general recursive function,一般遞迴函數,,,
212,general register address,通用暫存器位址,,,
213,general register	,通用暫存器,通用寄存器,,
214,general routine,通用常式,,,
215,general station,一般站,,,
216,general task space	,通用任務空間,,,
217,general terms,通用術語；一般術語,,,
218,general user,一般使用者,一般用戶 ,,
219,general user configuration,一般使用者組態,,,
220,general utility function,通用公用程式功能,,,
221,general word and phrase database,通用詞句片語資料庫,通用詞語[數據]庫 ,,
222,generalization,一般化,泛化 ,,
223,generalization rule,概括規則,,,
224,generalized assembly language	,通用組合語言,,,
225,generalized compatible operation,一般化相容運算,廣義相容運算 ,,
226,generalized drawing primitive	,廣義繪圖基元,,,
227,generalized excitation table,一般化激勵表,,,
228,generalized exponential distribution,一般化指數分配,,,
229,generalized file processing,一般化檔案處理,,,
230,generalized information system	,一般化資訊系統,,,
231,generalized linear system,一般化線性系統,,,
232,generalized list processing language	,一般化列表處理語言,,,
233,generalized merge program,一般化合併程式,,,
234,generalized phrase structure grammar	,一般片語結構文法,,,
235,generalized routine,一般化常式,,,
236,generalized sequential machine,一般化順序機,廣義序列機 ,,
237,generalized sort merge program,一般化排序合併程式,,,
238,generalized sort program,一般化排序程式,,,
239,generalized stochastic Petri net,一般化隨機 Petri net,廣義隨機佩特里網 ,,
240,generalized trace facility	,一般化追蹤設施,,,
241,general-purpose computer,通用計算機,通用計算機 ,,
242,general-purpose operating system,通用作業系統,通用操作系統 ,,
243,generate,產生,,,
244,generate and test,產生與測試,,,
245,generated address,生成位址；產生位址,,,
246,generated elements,生成元件,,,
247,generated error,生成錯誤,,,
248,generated requirement,產生之需求,,,
249,generated symbol,生成符號,,,
250,generating function,產生函數,,,
251,generating polynomial,生成多項式,,,
252,generating program,產生程式,,,
253,generating routine,產生常式,,,
254,generation,產出；代,,,
255,generation data group,世代資料組,,,
256,generation number,產生號碼,,,
257,generation of data group	,資料組世代,,,
258,generation rule,產生規則,,,
259,generation version,產生版次,,,
260,generative CAI,生成式電腦輔助教學,,,
261,generative graphics,生成式圖學,,,
262,generative linguistics,生成語言學,生成語言學 ,,
263,generative method,衍生法,,,
264,generative program,生成程式,,,
265,generator,產生器,,,
266,generator gate,產生器閘,,,
267,generic,同屬的,,,
268,generic array logic,同屬陣列邏輯,通用陣列邏輯[電路] ,,
269,generic device name,同屬裝置名,,,
270,generic program unit,同屬程式單位,,,
271,generic unit,同屬單元,,,
272,genetic algorithm,遺傳演算法,遺傳算法 ,,
273,genetic computing,遺傳計算,遺傳計算 ,,
274,genetic learning,遺傳學習,遺傳學習 ,,
275,genetic operation,遺傳操作,遺傳操作 ,,
276,genetic programming algorithm,遺傳程式設計演算法,遺傳規划算法 ,,
277,geocoding,地理編碼,,,
278,geographic information system,地理資訊系統,地理信息系統 ,,
279,geographical analogy,地理類比,,,
280,geometric analogy,幾何類比,,,
281,geometric continuity,幾何連續性,几何連續性 ,,
282,geometric correction,幾何校正,几何校正 ,,
283,geometric design,幾何設計,,,
284,geometric distortion correction,幾何失真校正,,,
285,geometric distribution,幾何分佈,,,
286,geometric graphics content architecture,幾何圖形內容架構,,,
287,geometric mean,幾何平均,几何平均 ,,
288,geometric modeling,幾何模型化,几何造型 ,,
289,geometric modelling,幾何模式,,,
290,geometric transform,幾何變換,,,
291,geometric transformation,幾何變換,几何變換 ,,
292,geometry,幾何,,,
293,geometry deformation,幾何變形,几何變形 ,,
294,geometry manipulation mechanism	,幾何調處機制,,,
295,germanium diode,鍺二極體,,,
296,germanium transistor,鍺電晶體,,,
297,gesture,筆勢,,,
298,gesture message,手勢訊息,手勢消息 ,,
299,gesture recognition,手勢識別,手勢識別 ,,
300,GET command,GET命令,,,
301,GGP,閘道到閘道協定,網關到網關協議 ,,
302,ghost,重影,重影 ,,
303,ghost hyphen,自動連字符,,,
304,gibberish,凌亂,,,
305,gibberish total,凌亂總計,,,
306,Gibbs' phenomena,吉普現象,,,
307,Gibson mix,吉布森混合法,吉布森混合法 ,,
308,giga bits per second,每秒十億位元,十億位每秒 ,,
309,giga bytes per second,每秒十億位元組數,十億字節每秒 ,,
310,giga floating point operations per second,每秒億浮點運算,十億次浮點運算每秒 ,,
311,giga instructions per second,每秒十億條指令,十億條指令每秒 ,,
312,giga operations per second,每秒十億次運算,十億次運算每秒 ,,
313,gigabit,十億位元,十億位, *吉位 ,,
314,gigabit Ethernet,高速乙太網路,吉比特以太網 ,,
315,gigabit	,十億比,,,
316,gigabyte,十億位元組,十億字節, *吉字節 ,,
317,gigabyte	,十億字元,,,
318,gigacycle,千兆周,吉周期 ,,
319,gigaFLOPS,每秒億浮點運算,十億次浮點運算每秒 ,,
320,gigahertz circuit,十億赫電路；吉赫電路,,,
321,GII,全球資訊基礎建設,全球信息基礎設施 ,,
322,Gilbert code,吉爾伯特碼,,,
323,gimbal,方向支架,,,
324,GIS,地理資訊系統,地理信息系統 ,,
325,given name,既定名稱,,,
326,GKS,圖形核心系統,圖形核心系統 ,,
327,GL,圖形庫,圖形庫 ,,
328,glass epoxy board,玻璃環氧板,玻璃環氧板 ,,
329,glass fiber reinforced cable	,玻璃纖維強化電纜,,,
330,glass semiconductor,玻璃半導體,,,
331,glass semiconductor device,玻璃半導體裝置,,,
332,glass semiconductor memory,玻璃半導體記憶體,,,
333,glass semiconductor read only memory,玻璃半導體僅讀記憶體,,,
334,glassivation,玻璃鈍化,,,
335,glitch,故障,假信號 ,,
336,global,總體,,,
337,global address,全球位址,全球地址 ,,
338,global address administration,全球位址管理,全球地址管理 ,,
339,global addresser	,總體位址,,,
340,global aggregate,總體聚合,,,
341,global ambiguity,總體歧義總體焦點,,,
342,global application,全局應用程式,全局應用 ,,
343,global attribute,總體屬性,,,
344,global backup,總體備份,,,
345,global buffer,總體緩衝器,,,
346,global character mode,總體字元模式,,,
347,global coherent memory,總體一致性記憶體,全局一致性存儲器 ,,
348,global criteria,總體準則,,,
349,global cross reference,總體對照參考,,,
350,global data base,總體資料庫,,,
351,global deadlock,總體死鎖,全局死鎖 ,,
352,global failure,總體失效,整體失效 ,,
353,global fault,總體故障,全局故障 ,,
354,global field,總體欄,,,
355,global filter,總體濾波器,,,
356,global find and replace,全程查找與替換,全程查找與替換,,
357,global identifier,總體識別符,,,
358,global illumination model,總體光照模型,整體光照模型 ,,
359,global information infrastructure,全球資訊基礎建設,全球信息基礎設施 ,,
360,global knowledge,總體知識,全局知識 ,,
361,global light model,總體光照模型,整體光照模型 ,,
362,global logical data,總體邏輯資料,,,
363,global logical database description,總體邏輯資料庫描述,,,
364,global maximum,全局極大值,,,
365,global memory,總體記憶,全局存儲器 ,,
366,global minimum,全局極小值,,,
367,global modularity,總體模組性,,,
368,global name,總體名稱,,,
369,global optimization,全局最佳化,全局優化 ,,
370,global option,總體選項,,,
371,global page table,總體頁表,,,
372,global position system,全球定位系統,全球定位系統 ,,
373,global positioning satellite	,全球定位衛星,,,
374,global query,全局查詢,全局查詢 ,,
375,global query optimization,全局查詢最佳化,全局查詢優化 ,,
376,global search,總體搜尋,全局搜索 ,,
377,global search tools,總體搜尋工具,,,
378,global search-and-replace,總體查尋並替換,全程搜索與替換,,
379,global section,總體區段,,,
380,global section descriptor,總體區段描述符,,,
381,global section table,總體區段表,,,
382,global shared resource,總體共享資源,全局共享資源 ,,
383,global symbol,總體符號,,,
384,global symbol table	,總體符號表,,,
385,global transaction,總體異動,全局事務 ,,
386,global variable,總體變數,全局變量 ,,
387,global variable symbol,總體變數符號,,,
388,global wiring,總體佈線,,,
389,glossary,字彙；名詞解釋,,,
390,glossary function,字彙功能,,,
391,glossary of term,術語字彙,,,
392,glyph,字符,,,
393,GO TO assignment statement,GOTO指定敘述,,,
394,go/no-go decision,走／停決策,,,
395,goal case base,目標案例庫,目標范例庫 ,,
396,goal clause,目標子句,目標子句 ,,
397,goal directed control,目標導向控制,,,
398,goal directed function invocation,目標導引的功能調用,,,
399,goal directed inference,目標導向推論,,,
400,goal directed reasoning,目標導向推理,,,
401,goal driven,目標驅動,目標驅動 ,,
402,goal object,目標物件,目標對象 ,,
403,goal programming,目標規劃,,,
404,goal regression,目標回歸,目標回歸 ,,
405,goal rule,目標規則,,,
406,goal seeking,目標尋覓,,,
407,goal set,目標集合,目標集 ,,
408,goal stack,目標堆疊,,,
409,goal tree,目標樹,,,
410,goal variable,目標變數,,,
411,goal wff ,目標WFF,,,
412,goal-directed behavior,目標導向行為,目標引導行為 ,,
413,goal-directed reasoning,目標導向推理,目標導向推理 ,,
414,Godel incompleteness theorem,哥德不完整性定理,,,
415,Godel number,哥德數,,,
416,Godel numbering,哥德數,哥德爾配數 ,,
417,gold doping,摻金,,,
418,golden ratio,黃金比,,,
419,go-list,關鍵詞表,,,
420,gopher,高佛查詢系統,,,
421,Gordon surface,歌登曲面,戈登曲面 ,,
422,Gothic,哥德體；黑體,,,
423,goto,進行；跳至,,,
424,government open systems interconnection profile	,政府開放系統互連設定檔,,,
425,go-word,有用詞,,,
426,GPS,全球定位系統,全球定位系統 ,,
427,GPS,通用問題解答器,通用問題求解程序 ,,
428,GPSS,通用系統模擬語言,通用系統模擬語言 ,,
429,GPSS(General-Purpose System Simulator)language,通用系統模擬語言,,,
430,grabber,爪鉤,,,
431,graceful degradation,從容退化,,,
432,grade of service,服務級,,,
433,gradient,梯度,,,
434,gradient method,梯度法,,,
435,gradient of disparity,視差梯度,視差梯度 ,,
436,gradient search,梯度搜尋,,,
437,gradient space,梯度空間,,,
438,gradual rules,逐漸規則,,,
439,grain size modularity,粒大小模組性,,,
440,grain size rule,粒大小規則,,,
441,grammar,文法,語法 ,,
442,grammar checker,文法檢查器,文法檢查程序,,
443,grammar description language,文法描述語言,語法描述語言 ,,
444,grammar for natural language,自然語言文法,自然語言語法 ,,
445,grammatical analysis,文法分析,語法分析 ,,
446,grammatical attribute,文法屬性,語法屬性 ,,
447,grammatical category,文法種類,語法范疇 ,,
448,grammatical relation,文法關係,語法關系 ,,
449,grams per square meter	,每平方公尺克數,,,
450,grand scale integration	,超大規模積體電路,,,
451,grand total,總值,,,
452,grand total item balance file,彙總項餘額檔,,,
453,grandfather cycle,祖週期,,,
454,grandfather tape,祖始帶；祖級磁帶,,,
455,grant,授與；允許,授權 ,,
456,grant access,允許存取,,,
457,granularity,顆粒度,粒度 ,,
458,granularity noise,顆粒雜訊,,,
459,granule,區組,,,
460,graph,圖形；圖,圖 ,,
461,graph coloring,圖形著色,圖的著色 ,,
462,graph coordinate unit,圖形座標單位,,,
463,graph display,圖形顯示器,,,
464,graph entity,圖形實體,,,
465,graph follower,圖形隨動器,,,
466,graph grammar,圖形文法,圖語法 ,,
467,graph isomorphism,圖形同構,圖同構 ,,
468,graph isomorphism interactive proof system,圖形同構的交互式證明系統,圖同構的交互式証明系統 ,,
469,graph language,圖形語言,,,
470,graph non-isomorphism,圖形非同構,圖的非同構 ,,
471,graph off,圖形關閉,,,
472,graph on,圖形啟動,,,
473,graph plotter,圖形繪圖器,,,
474,graph reduction,圖形縮減,,,
475,graph reduction machine,圖形歸約機,圖歸約機 ,,
476,graph region,圖形區域,,,
477,graph search,圖形搜尋,圖搜索 ,,
478,graph theory,圖論,,,
479,graph type,圖型式,,,
480,grapheme,字形,,,
481,graphic,圖形；圖示,圖形 ,,
482,graphic access method	,圖形存取法,,,
483,graphic array,圖形陣列,,,
484,graphic art,圖形藝術,,,
485,graphic attention,圖形警示,,,
486,graphic attribute,圖形屬性,,,
487,graphic capability,圖形能力,,,
488,graphic character,圖號；圖形字元；圖示字元,圖形字符 ,,
489,graphic character combination,圖形字元組合,圖形字符合成 ,,
490,graphic cursor,圖形游標,,,
491,graphic data,圖形資料,,,
492,graphic data processing,圖形資料處理,,,
493,graphic data structure,圖形資料結構,,,
494,graphic display,圖形顯示,圖形顯示(設備),,
495,graphic display device,圖形顯示裝置,,,
496,graphic display program,圖形顯示程式,,,
497,graphic display resolution,圖形顯示解析度,,,
498,graphic display subsystem,圖形顯示子系統,,,
499,graphic display unit,圖形顯示單元,,,
500,graphic editor,圖形編輯器,,,
501,graphic file formats,圖形檔案格式,,,
502,graphic file maintenance,圖形檔案維護,,,
503,graphic input language,圖形輸入語言,,,
504,graphic language,圖形語言,圖形語言 ,,
505,graphic library,圖形庫,圖形庫 ,,
506,graphic memory,圖形記憶器,,,
507,graphic mode,圖形模態,,,
508,graphic model,圖形模型,,,
509,graphic mouse,圖形滑鼠,,,
510,graphic object,圖形目標,,,
511,graphic package,圖形套裝軟體,圖形包 ,,
512,graphic panel,圖形面板,,,
513,graphic PC application program,個人電腦圖形應用程式,,,
514,graphic primitive,圖形基元,,,
515,graphic printer,圖形列印機,圖形打印機 ,,
516,graphic processing,圖形處理,圖形處理 ,,
517,graphic program,圖形程式,,,
518,graphic report,圖形報表,,,
519,graphic report generator,圖形報表產生器,,,
520,graphic routine,圖形常式,,,
521,graphic screen,圖形螢幕,,,
522,graphic software,繪圖軟體,,,
523,graphic solution,圖解,,,
524,graphic symbol,圖形符號；圖示,圖形符號 ,,
525,graphic system,圖形系統,圖形系統 ,,
526,graphic terminal,圖形終端機,,,
527,graphic transmission,圖形傳輸,,,
528,graphic user interface,圖形使用者介面,圖形用戶界面 ,,
529,graphic workstation,圖形工作站,圖形工作站 ,,
530,graphical automatic programming,圖形自動程式設計,,,
531,graphical data display manager	,圖形資料顯示管理器,,,
532,graphical interface,圖形介面,,,
533,graphical kernel system,圖形核心系統,圖形核心系統 ,,
534,graphical kernel system for three dimensions,三維圖形核心系統,,,
535,graphical kernel system	,圖形核心系統,,,
536,graphical pages per minute,每分鐘列印圖形頁數,,,
537,graphical recognition,圖形識別,圖形識別 ,,
538,graphical representation,圖形表示法,,,
539,graphical structure,圖形結構,圖形結構 ,,
540,graphical user interface	,圖形使用者介面,,,
541,graphics,圖形;圖學,圖形學 ,,
542,graphics application,圖形應用軟體,,,
543,graphics application program	,圖形應用程式,,,
544,graphics board,圖形卡,,,
545,graphics database,圖形資料庫,圖形數據庫 ,,
546,graphics device,圖形裝置,圖形設備 ,,
547,graphics display interface	,圖形顯示介面,,,
548,graphics drive program,圖形驅動程式,,,
549,graphics engine,圖形引擎,,,
550,graphics environment manager	,圖形環境管理器,,,
551,graphics generator,圖形產生器,,,
552,graphics peripheral,圖形週邊設備,,,
553,graphics plotter,繪圖器,,,
554,graphics screen dump,圖形螢幕傾印,,,
555,graphics services,圖形服務,,,
556,graphics supercomputing work station,圖形超級計算工作站,,,
557,graphics system,圖形系統,,,
558,graphics system processor	,圖形系統處理機,,,
559,graphics tablet,圖形輸入板,,,
560,Gray code,格雷碼,,,
561,gray level,灰階,灰度級 ,,
562,gray level image,灰階圖像,灰度圖像 ,,
563,gray scale,灰階標度,灰度 ,,
564,gray threshold,灰階定限,灰度閾值 ,,
565,gray-scale transformation,灰階標度轉換,灰度變換 ,,
566,greater than,大於,,,
567,great-than search,大於搜尋,大于搜索 ,,
568,greedy,貪心[法],貪心[法] ,,
569,greedy algorithm,貪心演算法,,,
570,greedy cycle,貪心周期,貪心周期 ,,
571,greedy method,貪心法,,,
572,greedy strategy,貪心策略,,,
573,greedy triangulation,貪心三角剖分,貪婪三角剖分 ,,
574,Greek alphabet,希臘字母,,,
575,Greek letter representation,希臘字母表示法,,,
576,green computer,綠色計算機,綠色計算機 ,,
577,GREEN language,GREEN語言,,,
578,green PC,綠色個人電腦,,,
579,Greenwich mean time	,格林威治標準時間,,,
580,Greibach normal form,格里巴哈正規形式,格雷巴赫范式 ,,
581,grey level,灰階,,,
582,grey level transformation,灰階變換,,,
583,grey scale,灰階,,,
584,grey scale picture,灰階圖象,,,
585,grey scale vision,灰階視域,,,
586,grid,柵；格子,網格 ,,
587,grid control,柵控制,,,
588,grid line,柵線,,,
589,grid spaced contact,柵間接觸,,,
590,grid surface,柵曲面,網格曲面 ,,
591,grommet,絕緣環,,,
592,groove,凹槽；溝槽,,,
593,Grosch's law,格勞希定律,,,
594,gross,總和,,,
595,gross analysis,毛利分析,,,
596,gross earnings register,毛收入登記簿,,,
597,gross error,總誤差,嚴重錯誤 ,,
598,gross index,總索引,,,
599,gross margin,毛利,,,
600,gross motion planning,總動規劃,,,
601,gross profit,毛利,,,
602,gross profit amount,毛利額,,,
603,gross requirement,毛利需求,,,
604,ground,接地,,,
605,ground clause,基本子句,基子句 ,,
606,ground data,地面資料,,,
607,ground instance,基本實例,,,
608,ground plane,接地平面,,,
609,ground potential difference,接地電位差,,,
610,ground return circuit,接地轉回,,,
611,ground system,接地系統,,,
612,grounding,接地,,,
613,grounding electrode,接地電極,,,
614,grounding plane,接地平面,接地平面 ,,
615,grounding system,接地系統,接地系統 ,,
616,group,組；群,,,
617,group access,群存取,,,
618,group address,群組位址,[成]組地址 ,,
619,group available capacity,群可用容量,,,
620,group carry,成組進位,[成]組進位 ,,
621,group classification code,群組分類碼；分群碼,,,
622,group code,群碼,,,
623,group code A,十位成組編碼,,,
624,group coded recording,群編碼記錄,成組編碼記錄 ,,
625,group communication,區段群通訊,,,
626,group control,群控制,,,
627,group data item,群組資料項,,,
628,group decision support system,群組決策支援系統,群體決策支持系統 ,,
629,group decision support system	,群組決策技援系統,,,
630,group delay distortion,群延遲失真,,,
631,group dictionary,群組辭典,,,
632,group field,群欄,,,
633,group file,群檔,,,
634,group handles,群標示區,,,
635,group ID,群識別符,,,
636,group identifier,群識別符,,,
637,group indicate,群指示,,,
638,group indication,群指示,,,
639,group item,群項目,,,
640,group load capacity ratio,群負載容量比,,,
641,group MAD ratio,群MAD比率,,,
642,group mark,群標示,,,
643,group number,組號,,,
644,group password,群組密碼,集團口令 ,,
645,group percent of load,負載群百分比,,,
646,group printing,群列印,,,
647,group record,群記錄,,,
648,group record array,群記錄陣列,,,
649,group reliability coefficients,群可靠性係數,,,
650,group seasonal coefficients,群組季節性係數,,,
651,group seasonality,群組季節性,,,
652,group separator character,群隔符字元,,,
653,group separator	,群分隔符,,,
654,group special mobile	,群特別移動,,,
655,group synchronization,群同步,,,
656,group technology,成組工藝,成組工藝,,
657,group theory,群論,,,
658,group total indicator,群總計指示器,,,
659,group transmission,群傳輸,,,
660,group trunk,群幹線,,,
661,grouped record,成群記錄,,,
662,grouping,分組,,,
663,grouping attribute,分組屬性,,,
664,grouping isolation,分組隔離；群隔離,,,
665,grouping of recovery records,恢復記錄分組,,,
666,group-octet,八位元群組,組八位 ,,
667,growing thesaurus,增長詞庫,,,
668,growth,成長,,,
669,growth in depth,深度成長,,,
670,growth in length,長度成長,,,
671,growth in time,時間成長,,,
672,growth in width,寬度成長,,,
673,growth rate,成長率,,,
674,growth stage,成長階段,,,
675,growth system,成長系統,,,
676,growth trend,成長趨勢,,,
677,guard,防護,守衛 ,,
678,guard band,護帶,,,
679,guard bit,防護位元,,,
680,guard rail,防護導軌,,,
681,guard signal,防護信號,,,
682,guard time,保護時段,,,
683,guarded command,防護命令,,,
684,guest operating system,客作業系統,,,
685,GUI,圖形使用者介面,圖形用戶界面 ,,
686,guidance system,導引系統,制導系統 ,,
687,guide,導引,,,
688,guide edge,導引邊緣,,,
689,guide in window,導入視窗,,,
690,guide line,導引線,基准線 ,,
691,guide margin,導引邊際,,,
692,guide mode,導引模式,,,
693,guide pin,導引插腳,,,
694,guide plate,導板,,,
695,guide roller,導引滾輪,,,
696,gulp,位元組群,,,
697,Gummel-Poon model,辜摩爾－普恩模型,,,
698,gunning transceiver logic	,射型收發器邏輯,,,
699,gutter,欄距,,,
700,GWBASIC,GWBASIC語言,,,
