系統編號,英文名稱,中文名稱,圖片,更新時間
2391661,master key concept,主鍵概念,,2015-09-11
2391662,master key variant key data set，MKDS,主鍵變體鍵資料集,,2015-09-11
2391663,master level forecast code,主階預測碼,,2015-09-11
2391664,master level item code,主階項碼,,2015-09-11
2391665,master level item scheduling,主階項排程,,2015-09-11
2391666,master level item，MLI,主階項,,2015-09-11
2391667,master level print code,主階列印碼,,2015-09-11
2391668,master library,主程式館,,2015-09-11
2391669,master library file system，MLFS,主程式館檔案系統,,2015-09-11
2391670,master library tape,主程式館磁帶,,2015-09-11
2391671,master mask,主遮罩,,2015-09-11
2391672,master menu,主選項單,,2015-09-11
2391673,master milestone,主里程碑,,2015-09-11
2391674,master mode,主模,,2015-09-11
2391675,master mode bit,主模位元,,2015-09-11
2391676,master mode entry instruction,主模入口指令,,2015-09-11
2391677,master mode entry operation,主模入口操作,,2015-09-11
2391678,master mode entry routine,主模入口常式,,2015-09-11
2391679,master mode program,主模程式,,2015-09-11
2391680,master monitor，MM,主監視器，主監控程序,,2015-09-11
2391681,master network processor,主網路處理機,,2015-09-11
2391682,master node,主節點,,2015-09-11
2391683,master node control,主節點控制,,2015-09-11
2391684,master of network science,網路科學專家,,2015-09-11
2391685,master of science in computer science，MSCS,計算機科學理科碩士,,2015-09-11
2391686,master operating program,主操作程式,,2015-09-11
2391687,master operating system，MOS,主作業系統,,2015-09-11
2391688,master operation,主作業,,2015-09-11
2391689,master operational console,主操作控制台,,2015-09-11
2391690,master operational controller，MOC,主操作控制器,,2015-09-11
2391691,master operational recording tape address table，MORTAT;MAT,主操作記錄帶位址表,,2015-09-11
2391692,master operational recording tape assembly program，MORTAP;MAP,主操作記錄帶組合程式,,2015-09-11
2391693,master operational recording tape recording，MORTR;MOR,主操作記錄帶記錄,,2015-09-11
2391694,master operational recording tape，MORT,主操作記錄帶,,2015-09-11
2391695,master operations control center，MOCC,主操作控制中心,,2015-09-11
2391696,master operations control system，MOCS,主操作控制系統,,2015-09-11
2391697,master operator command,主操作員命令,,2015-09-11
2391698,master oscillator，MO,主振盪器,,2015-09-11
2391699,master output tape,主輸出帶,,2015-09-11
2391700,master page,主版頁,,2015-09-11
2391701,master password,主通行碼,,2015-09-11
2391702,master pattern,主型樣,,2015-09-11
2391703,master payroll data file,主薪資資料檔,,2015-09-11
2391704,master picture monitor,圖象主監視器,,2015-09-11
2391705,master power regulator，MPR,主功率調整器,,2015-09-11
2391706,master process,主過程,,2015-09-11
2391707,master processor,主處理機,,2015-09-11
2391708,master processor module,主處理機模組,,2015-09-11
2391709,master production schedule,主生產排程,,2015-09-11
2391710,master program,主程式，主程序,,2015-09-11
2391711,master program controller,主程式控制器,,2015-09-11
2391712,master program file,主程式檔案,,2015-09-11
2391713,master program file update,主程式檔案更新,,2015-09-11
2391714,master program system，MPS,主程式系統,,2015-09-11
2391715,master program tape,主程式帶，主程序帶,,2015-09-11
2391716,master program update,主程式更新,,2015-09-11
2391717,master proof,主證明,,2015-09-11
2391718,master pulse,主脈衝,,2015-09-11
2391719,master record,主記錄,,2015-09-11
2391720,master recorder,主記錄器,,2015-09-11
2391721,master relocatable tape，MRT,主可再定位帶,,2015-09-11
2391722,master reset command,主重設命令,,2015-09-11
2391723,master reset，MR;MRST,主重置，主重置命令,,2015-09-11
2391724,master resident core，MRC,主常駐核心程式,,2015-09-11
2391725,master reticle,主標線,,2015-09-11
2391726,master routine,主（控）常式，主常式，主例行程序,,2015-09-11
2391727,master scanner，MS,主掃瞄器,,2015-09-11
2391728,master schedule,主排程,,2015-09-11
2391729,master schedule planning,主排程規劃,,2015-09-11
2391730,master scheduler address space,主排程器位址空間,,2015-09-11
2391731,master scheduler resident area，MSRA,主排程器常駐區,,2015-09-11
2391732,master scheduler task,主排程器任務,,2015-09-11
2391733,master scheduler，MS,主排程器，主調度程序,,2015-09-11
2391734,master scheduling,主排程,,2015-09-11
2391735,master segment,主段,,2015-09-11
2391736,master segment index,主段索引,,2015-09-11
2391737,master segment table,主段表,,2015-09-11
2391738,master sequencer，MS,主定序器,,2015-09-11
2391739,master set,（數據庫的）主集，主系,,2015-09-11
2391740,master shielding computer program，MSCP,主屏蔽計算機程式,,2015-09-11
2391741,master skew tape,主偏斜帶,,2015-09-11
2391742,master slewing device,主回轉裝置,,2015-09-11
2391743,master slice,主片,,2015-09-11
2391744,master slice method,主片法,,2015-09-11
2391745,master source program,主源程式,,2015-09-11
2391746,master space,主間隔，大間隔,,2015-09-11
2391747,master speed tape,主速率帶,,2015-09-11
2391748,master standard data，MSD,主標準數據,,2015-09-11
2391749,master state,主（狀）態,,2015-09-11
2391750,master station，MST,主站,,2015-09-11
2391751,master supervisory and alarm frame，MSA;MSAF,主監督及警報,,2015-09-11
2391752,master surveillance station，MSS,主監視站,,2015-09-11
2391753,master switch，MASW;MS,主開關,,2015-09-11
2391754,master synchronization，MSYN,主同步,,2015-09-11
2391755,master synchronizer,主同步器,,2015-09-11
2391756,master system tape，MASTAP,主系統磁帶，主系統帶,,2015-09-11
2391757,master table of contents，MTC,總目錄內容，主目錄內容,,2015-09-11
2391758,master tape,主帶，標準帶,,2015-09-11
2391759,master tape loading，MTL,主帶載入,,2015-09-11
2391760,master task,任務主站,,2015-09-11
2391761,master terminal,主終端,,2015-09-11
2391762,master terminal formatting option,主終端格式化選項,,2015-09-11
2391763,master terminal formatting options,主終端格式化可選項,,2015-09-11
2391764,master terminal operator，MTO,主終端操作員,,2015-09-11
2391765,master test frame，MTF,主測試框,,2015-09-11
2391766,Master theorem,主定理,,2015-09-11
2391767,master time,主時間,,2015-09-11
2391768,master timer control block，MTCB,主計時器控制塊,,2015-09-11
2391769,master timer，MT,主計時器,,2015-09-11
2391770,master timing supply，MTS,主時鐘源,,2015-09-11
2391771,master timing unit,主定時單元,,2015-09-11
2391772,master trace,主追蹤,,2015-09-11
2391773,master tracking data file，MTDF,主追蹤資料檔案,,2015-09-11
2391774,master unit,主單元,,2015-09-11
2391775,master user,主用戶,,2015-09-11
2391776,master user directory，MUD,主用戶目錄,,2015-09-11
2391777,master vocabulary tape,主詞彙表磁帶,,2015-09-11
2391778,master-slave accumulator,主從累加器,,2015-09-11
2391779,master-slave computer,主從電腦,,2015-09-11
2391780,master-slave computer system,主從計算機系統,,2015-09-11
2391781,master-slave configuration,主從配置,,2015-09-11
2391782,master-slave control,主從控制,,2015-09-11
2391783,master-slave flipflop，MSFF;M-S,主從正反器,,2015-09-11
2391784,master-slave manipulator,主從調處器,,2015-09-11
2391785,master-slave mode multiprogramming,主從模多程式,,2015-09-11
2391786,master-slave multiprogramming,主從多程式,,2015-09-11
2391787,master-slave operating system,主從操作系統,,2015-09-11
2391788,master-slave polling,主從輪詢,,2015-09-11
2391789,master-slave scheduling system,主從排程系統,,2015-09-11
2391790,master-slave system,主從系統,,2015-09-11
2391791,master-slave，M-S,主從,,2015-09-11
2391792,master/slave arrangement,主從安排,,2015-09-11
2391793,master/slave mode,主從模式,,2015-09-11
2391794,master/slave scheduling,主從排程,,2015-09-11
2391795,masterboard,母板,,2015-09-11
2391796,mastering plant,製造主影碟工廠,,2015-09-11
2391797,masthead,網頁版頭,,2015-09-11
2391798,mastic,膠泥,,2015-09-11
2391799,match,匹配，相配，符合，吻合，比較,,2015-09-11
2391800,match arc,匹配弧,,2015-09-11
2391801,match bit,匹配位元,,2015-09-11
2391802,match condition,匹配條件,,2015-09-11
2391803,match cut,匹配切割,,2015-09-11
2391804,match dissolve,匹配分解,,2015-09-11
2391805,match exponents,匹配指數,,2015-09-11
2391806,match frame edit,匹配框架編輯,,2015-09-11
2391807,match gate,匹配閘,,2015-09-11
2391808,match interface generator，MIG,配對介面產生器,,2015-09-11
2391809,match operation,匹配運算,,2015-09-11
2391810,Match Reason Code,配合理由代碼,,2015-09-11
2391811,match stop,符合停止,,2015-09-11
2391812,match substitution,匹配替代,,2015-09-11
2391813,match time,匹配時間，符合比較時間,,2015-09-11
2391814,match whole word only,只符合整個單字,,2015-09-11
2391815,match-merge,匹配合併,,2015-09-11
2391816,matched data,匹配數據，符合數據,,2015-09-11
2391817,matched edge,匹配邊緣,,2015-09-11
2391818,matched filter,匹配濾波器,,2015-09-11
2391819,matched filtering,匹配過澽,,2015-09-11
2391820,matched group,匹配組,,2015-09-11
2391821,matched impedance,匹配阻抗,,2015-09-11
2391822,matched load,匹配負載,,2015-09-11
2391823,matched pair transistor,匹配對電晶體,,2015-09-11
2391824,matched pattern,匹配型樣,,2015-09-11
2391825,matched phrase,匹配片語,,2015-09-11
2391826,matched shots,匹配照片；相似照片(景),,2015-09-11
2391827,matched transmission line,匹配傳輸線,,2015-09-11
2391828,matched vertex,匹配頂點,,2015-09-11
2391829,matcher,匹配器,,2015-09-11
2391830,matcher-selector-connector，MACTOR,匹配器－選擇器－連接器,,2015-09-11
2391831,matching,匹配，符合，比較，微調,,2015-09-11
2391832,matching algorithm,匹配演算法,,2015-09-11
2391833,matching code,匹配碼,,2015-09-11
2391834,matching control,匹配控制,,2015-09-11
2391835,matching criterion,匹配準則,,2015-09-11
2391836,matching error,匹配誤差,,2015-09-11
2391837,matching hierarchy,匹配階層,,2015-09-11
2391838,matching impedance,匹配阻抗,,2015-09-11
2391839,matching language,匹配語言,,2015-09-11
2391840,matching list,匹配串列,,2015-09-11
2391841,matching literal,匹配文字,,2015-09-11
2391842,matching network,匹配網路,,2015-09-11
2391843,matching operation,匹配運算,,2015-09-11
2391844,matching package,匹配包,,2015-09-11
2391845,matching problem,匹配問題,,2015-09-11
2391846,matching process,匹配過程,,2015-09-11
2391847,matching record indicator,匹配記錄指示器,,2015-09-11
2391848,matching record，MR,匹配記錄,,2015-09-11
2391849,matching rule,匹配規則,,2015-09-11
2391850,matching storage hierarchy,匹配儲存階層,,2015-09-11
2391851,matching structured objects,匹配結構物件,,2015-09-11
2391852,matching sub-file,匹配子檔,,2015-09-11
2391853,matching sublanguage,匹配副語言,,2015-09-11
2391854,matching template,匹配模板,,2015-09-11
2391855,matching transformer,匹配變壓器,,2015-09-11
2391856,matching transistor,匹配電晶體,,2015-09-11
2391857,matching word,匹配字,,2015-09-11
2391858,mate block,配偶塊,,2015-09-11
2391859,mate table,配偶表,,2015-09-11
2391860,mated-film memory,耦合膜記憶體,,2015-09-11
2391861,material,材料，教材，物質，資料,,2015-09-11
2391862,material allocation record,材料分配記錄,,2015-09-11
2391863,material analysis data，MAD,材料分析數據,,2015-09-11
2391864,material density,物質密度,,2015-09-11
2391865,material detail file,材料明細檔,,2015-09-11
2391866,material detail file maintenance,材料明細檔維護,,2015-09-11
2391867,material detail file maintenance－blanket purchase,材料明細檔維護－綜合採購,,2015-09-11
2391868,material detail file maintenance－manufacture,材料明細檔維護－製造,,2015-09-11
2391869,material detail maintenance edit list,材料明細維護編輯清冊,,2015-09-11
2391870,material detail record,材料明細記錄,,2015-09-11
2391871,material dispersion,材料分散,,2015-09-11
2391872,material editor,材料編輯器,,2015-09-11
2391873,material flow simulator，MAFLOS,材料輸送模擬器,,2015-09-11
2391874,material handling application,物料搬運應用,,2015-09-11
2391875,material implication,實質蘊含,,2015-09-11
2391876,material management system,材料管理系統,,2015-09-11
2391877,material picking list,撿料表,,2015-09-11
2391878,material planning horizon，MPH,材料規劃時軸,,2015-09-11
2391879,material requirement planning system,材料需求規劃系統,,2015-09-11
2391880,material requirement planning，MRP,材料需求規劃，物料需求規劃,,2015-09-11
2391881,material requisition,材料請求,,2015-09-11
2391882,material shade,材料陰影,,2015-09-11
2391883,materialized record,實質化記錄,,2015-09-11
2391884,materials model,材料模型,,2015-09-11
2391885,materials requirements planning,物資需求規劃,,2015-09-11
2391886,math,數學（縮略詞）,,2015-09-11
2391887,math chip,數學晶片,,2015-09-11
2391888,math coprocessor,數學共處理機,,2015-09-11
2391889,math menu,數學選項單,,2015-09-11
2391890,math processor,數學處理器,,2015-09-11
2391891,math symbols,數學符號,,2015-09-11
2391892,math(s) processing,數學處理,,2015-09-11
2391893,MATH-MATIC,MATH-MATIC 語言,,2015-09-11
2391894,math-out,數學溢出,,2015-09-11
2391895,math-pac,數學程序包,,2015-09-11
2391896,mathematic analysis,數學分析,,2015-09-11
2391897,mathematic check,數學核對,,2015-09-11
2391898,mathematic compiler,數學編譯器,,2015-09-11
2391899,mathematic control mode,數學控制模式,,2015-09-11
2391900,mathematic definition,數學定義,,2015-09-11
2391901,mathematic example,數學例題,,2015-09-11
2391902,mathematic function,數學函數,,2015-09-11
2391903,mathematic function program,數學函數程式,,2015-09-11
2391904,mathematic induction,數學歸納法,,2015-09-11
2391905,mathematic logic,數學邏輯,,2015-09-11
2391906,mathematic machine theory,數學機器理論,,2015-09-11
2391907,mathematic model,數學模型,,2015-09-11
2391908,mathematic operator,數學運算子,,2015-09-11
2391909,mathematic power,乘冪,,2015-09-11
2391910,mathematic programming,數學規劃,,2015-09-11
2391911,mathematic relation,數學關係,,2015-09-11
2391912,mathematic routine,數學常式,,2015-09-11
2391913,mathematic structure,數學結構,,2015-09-11
2391914,mathematic subroutine,數學次常式,,2015-09-11
2391915,mathematic system,數學系統,,2015-09-11
2391916,Mathematica,Mathematica軟體,,2015-09-11
2391917,mathematical,數學,,2015-09-11
2391918,mathematical analysis,數學分析,,2015-09-11
2391919,mathematical analysis with programming，MAP,程式設計的數學分析,,2015-09-11
2391920,mathematical analyzer， numerator， integrator， and computer,MANIAC 高速電腦,,2015-09-11
2391921,mathematical axiom,數學公式,,2015-09-11
2391922,mathematical check,數學核對，數學檢驗,,2015-09-11
2391923,mathematical chips,數學晶片,,2015-09-11
2391924,mathematical code system，MCS,數學編碼系統,,2015-09-11
2391925,mathematical control mode,數學控制模式,,2015-09-11
2391926,mathematical control model,數學控制模型,,2015-09-11
2391927,mathematical decomposition,數學分解,,2015-09-11
2391928,mathematical discovery,數學發現,,2015-09-11
2391929,mathematical experience,數學知識,,2015-09-11
2391930,mathematical expression,數學表式,,2015-09-11
2391931,Mathematical Formula Markup Language,數學公式加成語言,,2015-09-11
2391932,mathematical function,數學函數,,2015-09-11
2391933,mathematical function library,數學函數館,,2015-09-11
2391934,mathematical function operator,數學函數運算子,,2015-09-11
2391935,mathematical function programs,數學函數程式,,2015-09-11
2391936,mathematical induction,數學歸納法,,2015-09-11
2391937,mathematical instrument,數學儀器，數學裝備,,2015-09-11
2391938,mathematical linguistics,數學語言學,,2015-09-11
2391939,mathematical logic,數學邏輯,,2015-09-11
2391940,mathematical manipulation,數學調處,,2015-09-11
2391941,mathematical model,數學模型,,2015-09-11
2391942,mathematical morphology,數學形態學,,2015-09-11
2391943,mathematical operations computer，MOC,數學運算計算機,,2015-09-11
2391944,mathematical operator,數學運算子,,2015-09-11
2391945,mathematical parameter,數學參數,,2015-09-11
2391946,mathematical power,數學乘方,,2015-09-11
2391947,mathematical problem,數學問題,,2015-09-11
2391948,mathematical program,數學程式,,2015-09-11
2391949,mathematical programming language，MPL,數學程式設計語言,,2015-09-11
2391950,mathematical programming system extended，MPSX,擴充的數學規劃系統,,2015-09-11
2391951,mathematical programming system report generator，MPSRG,數學規劃系統報告產生器,,2015-09-11
2391952,mathematical programming system，MPS,數學規劃系統,,2015-09-11
2391953,mathematical programming，MP,數學規劃,,2015-09-11
2391954,mathematical relation,數學關係（式）,,2015-09-11
2391955,mathematical routine,數學常式,,2015-09-11
2391956,mathematical semantics,數學語意學,,2015-09-11
2391957,mathematical simulation,數學模擬,,2015-09-11
2391958,mathematical software,數學軟體,,2015-09-11
2391959,mathematical software library,數學軟體程式館,,2015-09-11
2391960,mathematical statistics,數理統計（學）,,2015-09-11
2391961,mathematical subprogram library，MSL,數學次程式館,,2015-09-11
2391962,mathematical subroutine,數學次常式,,2015-09-11
2391963,mathematical subroutine libraries,數學次常式程式館,,2015-09-11
2391964,mathematical symbols,數學符號,,2015-09-11
2391965,mathematical system,數學系統,,2015-09-11
2391966,mathematical tabulative architecture,數學列表架構,,2015-09-11
2391967,mathematical theory of computation,計算數學理論,,2015-09-11
2391968,mathematical theory of trees,樹形數學理論,,2015-09-11
2391969,mathematical treatment,數學處置,,2015-09-11
2391970,mathematics,數學,,2015-09-11
2391971,Mathematics in Recognizable For Automatically Compiled,MIRFAC 語言,,2015-09-11
2391972,mathfile,數學文件,,2015-09-11
2391973,MATHLAB,MATHLAB數學軟體,,2015-09-11
2391974,MathML,MathML 應用,,2015-09-11
2391975,MathML element,MathML 元件,,2015-09-11
2391976,MathML expression,MathML 表式,,2015-09-11
2391977,Mathpac,數學與統計程式包,,2015-09-11
2391978,Mating Unit,連接單元,,2015-09-11
2391979,matrix,矩陣，點陣，真值表，母式,,2015-09-11
2391980,matrix adder,矩陣（式）加法器,,2015-09-11
2391981,matrix addition,矩陣加法,,2015-09-11
2391982,matrix algebra,矩陣代數,,2015-09-11
2391983,matrix algebra general interpretive coding，MAGIC,矩陣代數一般解譯編碼,,2015-09-11
2391984,matrix algebra table,矩陣代數表,,2015-09-11
2391985,matrix algorithm,矩陣算法,,2015-09-11
2391986,matrix algorithmic processor，MAP,矩陣算法處理機,,2015-09-11
2391987,matrix analysis,矩陣分析,,2015-09-11
2391988,matrix array sensor,矩陣陣列感測器,,2015-09-11
2391989,matrix calculation,矩陣計算,,2015-09-11
2391990,matrix chain product,矩陣鍊乘積,,2015-09-11
2391991,matrix checking,矩陣檢查,,2015-09-11
2391992,matrix circuit,矩陣電路,,2015-09-11
2391993,matrix coefficient,矩陣係數,,2015-09-11
2391994,matrix compiler,矩陣編譯器,,2015-09-11
2391995,matrix computation,矩陣計算,,2015-09-11
2391996,matrix controller,矩陣式控制器，矩陣控制程序,,2015-09-11
2391997,matrix differential equation,矩陣微分方程式,,2015-09-11
2391998,matrix drive pulse,矩陣驅動脈波,,2015-09-11
2391999,matrix eigenvalue,矩陣特徵值,,2015-09-11
2392000,matrix electrostatic writing technique，MEWT,矩陣靜電書寫技術,,2015-09-11
2392001,matrix element,矩陣元素,,2015-09-11
2392002,matrix encoder,矩陣式編碼器,,2015-09-11
2392003,matrix equation,矩陣方程式,,2015-09-11
2392004,matrix gate,矩陣閘,,2015-09-11
2392005,matrix grammar,矩陣文法,,2015-09-11
2392006,matrix inverse,矩陣倒式，矩陣求逆,,2015-09-11
2392007,matrix iteration,矩陣疊代,,2015-09-11
2392008,matrix lane,矩陣板,,2015-09-11
2392009,matrix language，MATLAN,矩陣語言,,2015-09-11
2392010,matrix line printer,矩陣列印機,,2015-09-11
2392011,matrix log-in memory，MLIM,矩陣登入記憶體,,2015-09-11
2392012,matrix manipulation language，MATLAN,矩陣調處語言,,2015-09-11
2392013,matrix matching,矩陣匹配,,2015-09-11
2392014,matrix matching technique,矩陣匹配技術,,2015-09-11
2392015,matrix math extensions，MMX,矩陣數學延伸,,2015-09-11
2392016,matrix matrix mapping,矩陣矩陣映像,,2015-09-11
2392017,matrix memory，MXM,矩陣記憶體,,2015-09-11
2392018,matrix metering,矩陣計量,,2015-09-11
2392019,matrix method,矩陣法,,2015-09-11
2392020,matrix multiplication,矩陣乘法,,2015-09-11
2392021,matrix norm,矩陣範數,,2015-09-11
2392022,matrix notation,矩陣記法,,2015-09-11
2392023,matrix of printed dots,列印點陣,,2015-09-11
2392024,matrix operations,矩陣操作,,2015-09-11
2392025,matrix organization,矩陣式組織,,2015-09-11
2392026,matrix output time,矩陣輸出時間,,2015-09-11
2392027,matrix pattern,矩陣型樣,,2015-09-11
2392028,matrix pin board,矩陣插針板,,2015-09-11
2392029,matrix plane construction,矩陣板構造,,2015-09-11
2392030,matrix plane current,矩陣板電流,,2015-09-11
2392031,matrix plane impedance,矩陣板阻抗,,2015-09-11
2392032,matrix plane output,矩陣板輸出,,2015-09-11
2392033,matrix plane wiring,矩陣板佈線,,2015-09-11
2392034,matrix printer,矩陣列印機,,2015-09-11
2392035,matrix printing,矩陣列印,,2015-09-11
2392036,matrix processor,矩陣處理機，陣列處理機,,2015-09-11
2392037,matrix program board，MPB,矩陣程式板,,2015-09-11
2392038,matrix representation,矩陣表示,,2015-09-11
2392039,matrix ring,矩陣環,,2015-09-11
2392040,matrix selection,矩陣選擇,,2015-09-11
2392041,matrix storage,矩陣儲存，矩陣（式）儲存器,,2015-09-11
2392042,matrix storage system,矩陣式儲存系統,,2015-09-11
2392043,matrix sum,矩陣和,,2015-09-11
2392044,matrix switch,矩陣開關,,2015-09-11
2392045,matrix table,矩陣表,,2015-09-11
2392046,matrix theory,矩陣理論,,2015-09-11
2392047,matrix transpose method,矩陣轉置方法,,2015-09-11
2392048,matrix tree theorem,矩陣樹定理,,2015-09-11
2392049,matrix-algebra tableau,矩陣代數圖表,,2015-09-11
2392050,matrix-chain multiplication problem,矩陣鍊相乘問題,,2015-09-11
